measurement,ms
recognized_background_copy,1.2545
recognized_merge_freehand,0.3031
addImage_index_update,0.0000
addImage_img_copy,1.1580
saveValue_mkpath,0.0103
serialize_image,3.6222
saveImageToFile_total,4.8658
saveValue_saveImageToFile,4.8774
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9163
addImage_saveValue,4.9253
addImage_updateGui,0.7376
recognized_add_freehand_history,7.0480
recognized_clear_stroke,0.4181
recognized_draw_ideal_shape,0.0344
release_pixmap_to_image AND release_background_applyImage,0.1960
release_image_to_pixmap,0.0032
release_background_clear,0.5461
release_geo_clearAll,0.0039
addImage_index_update,0.0000
addImage_img_copy,0.4348
saveValue_mkpath,0.0097
serialize_image,3.3465
saveImageToFile_total,4.6350
saveValue_saveImageToFile,4.6454
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6808
addImage_saveValue,4.6897
addImage_updateGui,0.6902
release_event_total,16.2802
stroke_recognition_total,0.1047
release_cursor_clear,0.0202
release_pixmap_to_image AND release_background_applyImage,0.4204
release_image_to_pixmap,0.0038
release_background_clear,0.7878
release_geo_clearAll,0.0028
addImage_index_update,0.0001
addImage_img_copy,1.3142
saveValue_mkpath,0.0091
serialize_image,3.5266
saveImageToFile_total,4.8299
saveValue_saveImageToFile,4.8411
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8774
addImage_saveValue,4.8865
addImage_updateGui,0.7023
release_event_total,8.7027
stroke_recognition_total,0.0835
release_cursor_clear,0.0280
recognized_background_copy,1.2172
recognized_merge_freehand,0.2721
addImage_index_update,0.0000
addImage_img_copy,1.1066
saveValue_mkpath,0.0102
serialize_image,3.8346
saveImageToFile_total,5.0110
saveValue_saveImageToFile,5.0235
saveValue_removeHistory,0.0002
Storage_addImage_total,5.0615
addImage_saveValue,5.0704
addImage_updateGui,1.0938
recognized_add_freehand_history,7.5679
recognized_clear_stroke,0.7892
recognized_draw_ideal_shape,0.0241
release_pixmap_to_image AND release_background_applyImage,0.4587
release_image_to_pixmap,0.0050
release_background_clear,0.9916
release_geo_clearAll,0.0044
addImage_index_update,0.0000
addImage_img_copy,0.6278
saveValue_mkpath,0.0087
serialize_image,4.3841
saveImageToFile_total,5.9943
saveValue_saveImageToFile,6.0058
saveValue_removeHistory,0.0001
Storage_addImage_total,6.0425
addImage_saveValue,6.0514
addImage_updateGui,0.7438
release_event_total,19.3781
stroke_recognition_total,0.1033
release_cursor_clear,0.0309
recognized_background_copy,1.2367
recognized_merge_freehand,0.2669
addImage_index_update,0.0000
addImage_img_copy,1.1024
saveValue_mkpath,0.0322
serialize_image,3.6616
saveImageToFile_total,4.8045
saveValue_saveImageToFile,4.8148
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8794
addImage_saveValue,4.8878
addImage_updateGui,0.7117
recognized_add_freehand_history,6.9368
recognized_clear_stroke,0.4298
recognized_draw_ideal_shape,0.0159
release_pixmap_to_image AND release_background_applyImage,0.1570
release_image_to_pixmap,0.0030
release_background_clear,0.5505
release_geo_clearAll,0.0037
addImage_index_update,0.0000
addImage_img_copy,0.4483
saveValue_mkpath,0.0089
serialize_image,3.4189
saveImageToFile_total,4.6540
saveValue_saveImageToFile,4.6640
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6983
addImage_saveValue,4.7095
addImage_updateGui,0.6929
release_event_total,16.0254
stroke_recognition_total,0.1159
release_cursor_clear,0.0204
release_pixmap_to_image AND release_background_applyImage,0.3978
release_image_to_pixmap,0.0041
release_background_clear,0.7708
release_geo_clearAll,0.0028
addImage_index_update,0.0001
addImage_img_copy,1.4155
saveValue_mkpath,0.0091
serialize_image,3.7149
saveImageToFile_total,4.9474
saveValue_saveImageToFile,4.9576
saveValue_removeHistory,0.0002
Storage_addImage_total,4.9937
addImage_saveValue,5.0022
addImage_updateGui,0.7052
release_event_total,8.8122
stroke_recognition_total,0.1329
release_cursor_clear,0.0257
release_pixmap_to_image AND release_background_applyImage,0.3168
release_image_to_pixmap,0.0068
release_background_clear,0.3844
release_geo_clearAll,0.0022
addImage_index_update,0.0000
addImage_img_copy,1.0447
saveValue_mkpath,0.0103
serialize_image,3.6230
saveImageToFile_total,4.9312
saveValue_saveImageToFile,4.9417
saveValue_removeHistory,0.0001
Storage_addImage_total,4.9784
addImage_saveValue,4.9868
addImage_updateGui,0.7290
release_event_total,8.0321
stroke_recognition_total,0.1379
release_cursor_clear,0.0254
release_pixmap_to_image AND release_background_applyImage,0.3065
release_image_to_pixmap,0.0064
release_background_clear,0.4234
release_geo_clearAll,0.0023
addImage_index_update,0.0000
addImage_img_copy,1.0322
saveValue_mkpath,0.0100
serialize_image,3.5420
saveImageToFile_total,4.7771
saveValue_saveImageToFile,4.7873
saveValue_removeHistory,0.0001
Storage_addImage_total,4.8240
addImage_saveValue,4.8324
addImage_updateGui,0.7368
release_event_total,7.9173
stroke_recognition_total,0.0919
release_cursor_clear,0.0256
recognized_background_copy,1.1647
recognized_merge_freehand,0.2651
addImage_index_update,0.0000
addImage_img_copy,1.1028
saveValue_mkpath,0.0103
serialize_image,3.4212
saveImageToFile_total,4.6094
saveValue_saveImageToFile,4.6195
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6566
addImage_saveValue,4.6704
addImage_updateGui,0.7123
recognized_add_freehand_history,6.6997
recognized_clear_stroke,0.4384
recognized_draw_ideal_shape,0.0168
release_pixmap_to_image AND release_background_applyImage,0.1587
release_image_to_pixmap,0.0030
release_background_clear,0.5505
release_geo_clearAll,0.0038
addImage_index_update,0.0000
addImage_img_copy,0.4477
saveValue_mkpath,0.0088
serialize_image,3.3705
saveImageToFile_total,4.6321
saveValue_saveImageToFile,4.6417
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6757
addImage_saveValue,4.6842
addImage_updateGui,0.7018
release_event_total,15.6973
stroke_recognition_total,0.1102
release_cursor_clear,0.0180
release_pixmap_to_image AND release_background_applyImage,0.3412
release_image_to_pixmap,0.0038
release_background_clear,0.8152
release_geo_clearAll,0.0019
addImage_index_update,0.0000
addImage_img_copy,1.3221
saveValue_mkpath,0.0094
serialize_image,3.3750
saveImageToFile_total,4.6239
saveValue_saveImageToFile,4.6340
saveValue_removeHistory,0.0001
Storage_addImage_total,4.6696
addImage_saveValue,4.6779
addImage_updateGui,0.6918
release_event_total,8.3439
stroke_recognition_total,0.1373
release_cursor_clear,0.0220
recognized_background_copy,1.3964
recognized_merge_freehand,0.3426
addImage_index_update,0.0000
addImage_img_copy,1.2503
saveValue_mkpath,0.0097
serialize_image,4.4372
saveImageToFile_total,5.7240
saveValue_saveImageToFile,5.7353
saveValue_removeHistory,0.0001
Storage_addImage_total,5.7723
addImage_saveValue,5.7829
addImage_updateGui,0.9899
recognized_add_freehand_history,8.5576
recognized_clear_stroke,0.5199
recognized_draw_ideal_shape,0.0770
release_pixmap_to_image AND release_background_applyImage,0.5852
release_image_to_pixmap,0.0060
release_background_clear,1.0543
release_geo_clearAll,0.0042
addImage_index_update,0.0000
addImage_img_copy,0.8330
saveValue_mkpath,0.0104
serialize_image,4.1635
saveImageToFile_total,5.8995
saveValue_saveImageToFile,5.9124
saveValue_removeHistory,0.0001
Storage_addImage_total,5.9508
addImage_saveValue,5.9599
addImage_updateGui,0.7488
release_event_total,20.8557
stroke_recognition_total,0.1140
release_cursor_clear,0.0191
